School ID - NCES Assigned [Public School] Latest available year,School Name,State Name [Public School] Latest available year,Grade 12 offered [Public School] 2018-19,Grade 13 Offered [Public School] 2018-19,Ungraded offered [Public School] 2018-19,Adult Education Offered [Public School] 2018-19,No Grades Offered [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Includes AE) [Public School] 2018-19,Free Lunch Eligible [Public School] 2018-19,Direct Certification [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
481500000998,ANDERSON EL,Texas,2-No,2-No,2-No,2-No,2-No,625,625,471,–,47,518,†,44.17,14.15
484122005601,ANDERSON EL,Texas,2-No,2-No,2-No,2-No,2-No,631,631,378,–,71,449,†,39.32,16.05
482364002388,ANDERSON EL,Texas,2-No,2-No,2-No,2-No,2-No,759,759,660,–,10,670,†,42,18.07
482001008147,ANDERSON EL,Texas,2-No,2-No,2-No,2-No,2-No,704,704,94,–,17,111,†,43.64,16.13
480870011013,ANDERSON EL,Texas,2-No,2-No,2-No,2-No,2-No,615,615,579,–,15,594,†,39.21,15.68
480894000292,ANDERSON H S,Texas,1-Yes,2-No,2-No,2-No,2-No,2226,2226,472,–,74,546,2226,134.31,16.57
483808004247,ANDERSON MILL EL,Texas,2-No,2-No,2-No,2-No,2-No,591,591,311,–,55,366,†,42.74,13.83
480823000192,ANDERSON-SHIRO EL,Texas,2-No,2-No,2-No,2-No,2-No,403,403,186,–,17,203,†,27.89,14.45
480823000193,ANDERSON-SHIRO JR/SR H S,Texas,1-Yes,2-No,2-No,2-No,2-No,476,476,157,–,21,178,272,39.8,11.96
481611011256,ANDRE EL,Texas,2-No,2-No,2-No,2-No,2-No,936,936,449,–,65,514,†,52.92,17.69
